ItemCode	Product	Unit Price	Qty	Date	Rep ID
D	Product D	5	22	6/17/2019	E011
D	Product D	5	24	6/23/2019	E011
C	Product C	8	9	6/26/2019	E011
C	Product C	8	6	6/29/2019	E011
D	Product D	5	7	7/2/2019	E011
D	Product D	5	15	7/4/2019	E011
B	Product B	15	19	7/8/2019	E011
A	Product A	10	23	7/20/2019	E011
A	Product A	10	10	7/22/2019	E011
A	Product A	10	13	7/23/2019	E011
B	Product B	15	22	8/1/2019	E011
B	Product B	15	12	8/7/2019	E011
C	Product C	8	10	8/9/2019	E011
B	Product B	15	18	8/15/2019	E011
C	Product C	8	13	8/21/2019	E011
A	Product A	10	20	8/22/2019	E011
B	Product B	15	17	8/27/2019	E011
A	Product A	10	23	6/1/2019	E012
B	Product B	15	19	6/5/2019	E012
C	Product C	8	23	6/8/2019	E012
B	Product B	15	24	6/16/2019	E012
C	Product C	8	17	6/19/2019	E012
A	Product A	10	17	6/25/2019	E012
B	Product B	15	7	6/28/2019	E012
B	Product B	15	13	7/13/2019	E012
C	Product C	8	7	7/26/2019	E012
A	Product A	10	21	7/28/2019	E012
A	Product A	10	14	8/12/2019	E012
D	Product D	5	12	8/19/2019	E012
A	Product A	10	7	8/28/2019	E012
C	Product C	8	20	6/2/2019	E013
B	Product B	15	8	6/4/2019	E013
C	Product C	8	20	6/10/2019	E013
D	Product D	5	18	6/11/2019	E013
B	Product B	15	23	6/20/2019	E013
C	Product C	8	15	7/1/2019	E013
D	Product D	5	22	7/5/2019	E013
C	Product C	8	21	7/7/2019	E013
B	Product B	15	7	7/16/2019	E013
B	Product B	15	19	7/17/2019	E013
B	Product B	15	24	7/31/2019	E013
B	Product B	15	15	8/10/2019	E013
C	Product C	8	15	8/13/2019	E013
C	Product C	8	8	8/16/2019	E013
A	Product A	10	11	8/24/2019	E013
B	Product B	15	23	6/7/2019	E014
C	Product C	8	24	6/13/2019	E014
A	Product A	10	22	6/14/2019	E014
B	Product B	15	18	6/22/2019	E014
A	Product A	10	19	7/10/2019	E014
D	Product D	5	15	7/11/2019	E014
D	Product D	5	8	7/14/2019	E014
D	Product D	5	6	7/19/2019	E014
A	Product A	10	9	7/25/2019	E014
A	Product A	10	18	7/29/2019	E014
C	Product C	8	25	8/3/2019	E014
D	Product D	5	11	8/4/2019	E014
B	Product B	15	10	8/6/2019	E014
A	Product A	10	7	8/18/2019	E014
D	Product D	5	12	8/25/2019	E014
